"buurt","ondersteuning_nodig","expected_nodig","index_nodig","ondersteuning_krijg","expected_krijg","index_krijg"
"Aalanden-midden",139,118.272184600626,1.17525520027694,121,123.859270975387,0.976915163855959
"Aalanden-noord",74,88.9848641841836,0.831602100856529,64,65.3875010377081,0.978780332392456
"Aalanden-oost",74,75.3332170676355,0.982302400992135,65,62.9048464562721,1.03330671103671
"Aalanden-zuid",98,80.120117439115,1.22316345922074,87,84.5681548569243,1.02875603880905
"Bagijneweide",23,29.5217875302689,0.779085615205987,20,19.770938244823,1.01158578072222
"Berkum",104,116.263703251456,0.894518212404331,93,94.510139942925,0.984021397663394
"Binnenstad-noord",30,27.0270139209217,1.11000053826801,26,24.7773442304839,1.04934571510743
"Binnenstad-zuid",32,35.3410139287873,0.905463551908287,30,26.8527089076307,1.11720572040592
"Bollebieste",48,49.1974380531818,0.975660560781897,41,39.7428604471898,1.03163183370962
"Brinkhoek",36,36.6577603321768,0.982056723427278,32,32.1743948799696,0.994579699769952
"Dieze-centrum",32,34.4385141967894,0.929192235679647,30,27.4051635792033,1.09468421574268
"Frankhuis",53,40.8699049339347,1.29679773137895,42,43.6718254413338,0.961718443769206
"Geren",23,28.1580049610706,0.816819232463317,20,20.0159950129451,0.999200888442729
"Gerenbroek",45,42.7935405044166,1.05156057361872,39,37.313251330772,1.045205084228
"Gerenlanden",60,50.7350950455914,1.18261333591832,48,50.229440981032,0.95561485579993
"Haerst",13,9.71508117712722,1.33812572051448,13,11.6120968211091,1.11952218451778
"Hanzeland",36,29.0033676500023,1.24123517084048,35,30.5476786852734,1.14574990658367
"Harculo en Hoogzuthem",12,16.7997624847109,0.71429581286765,11,11.13152651298,0.988184323791836
"Herfte",16,13.8266489443287,1.15718566837287,14,13.4606706583461,1.0400670483175
"Het Noorden",42,41.2054550001014,1.01928251975125,40,37.5278573252104,1.06587486872396
"Hogenkamp",87,80.2950935884248,1.08350331398757,78,71.949277174222,1.08409706203339
"Holtenbroek I",36,27.9265633441506,1.28909524442221,31,29.802222875696,1.04019086526867
"Holtenbroek II",44,46.3276287814629,0.949757221712278,37,35.4064996289529,1.04500587145712
"Holtenbroek III",62,52.9963483609305,1.1698919249634,50,50.354591401431,0.992958111831269
"Holtenbroek IV",92,88.8553225729616,1.03539098543541,84,80.1787981997698,1.04765850681261
"Indischebuurt",46,44.8846922230234,1.02484828839718,38,36.6412124111632,1.03708358701643
"Ittersumerbroek",44,43.6618709862004,1.00774426304147,36,36.7153635301749,0.980515962218732
"Ittersumerlanden",88,71.4750043276902,1.23119964563483,74,76.3716895948253,0.968945435050503
"Kamperpoort",63,56.7182277327544,1.11075402949549,60,56.4670776924514,1.06256605533565
"Katerveer-Engelse werk",18,23.2280862422919,0.774923935284301,16,15.7692577479225,1.01463241046383
"Meppelerstraatweg-zuid",17,16.0662117493146,1.05812124633084,17,14.2195781194137,1.19553476602729
"Milligen",91,79.550606629075,1.1439259090042,73,78.2563245520298,0.932831952150589
"Nieuw-Assendorp",59,48.1073874512452,1.22642286613036,52,51.5563788718295,1.00860458274762
"Noordereiland",24,37.2030792844406,0.645107890572851,23,21.9260294077866,1.04898153570076
"Oldenelerbroek",51,48.2926583184146,1.05606114419576,47,41.9806302554072,1.11956394446809
"Oldenelerlanden-oost",41,37.6617059557467,1.08863894928647,33,32.268146970158,1.02268035504235
"Oldenelerlanden-west",18,21.2510183077589,0.847018234106365,14,15.5832367311887,0.898401291175926
"Oud-Assendorp",36,46.8469503151885,0.768459841201835,33,30.552757457212,1.08009890911533
"Oud-Ittersum",43,42.7375303373425,1.00614143261404,41,38.4930982183429,1.06512600693863
"Oud-Schelle",24,27.796248468416,0.863425869403581,20,21.2568644723864,0.940872536774223
"Oud-Westenholte",45,41.4981204037732,1.08438646286034,41,39.4312621622399,1.03978411422149
"Pierik",50,58.6697120459657,0.852228488198932,45,42.3461357360363,1.06267075419837
"Schellerbroek",40,36.0970932518715,1.10812246628546,33,33.5567676412287,0.983408186176292
"Schellerlanden",66,68.8428802916978,0.958704803174241,61,55.0380852367492,1.10832344071574
"Schildersbuurt",11,12.440741303028,0.884191683764267,NA,NA,NA
"Schoonhorst",79,61.7790080297977,1.27875151316603,64,66.0231928825611,0.969356330794848
"Spoolde",19,17.0262902415153,1.11592130349524,19,15.8574600543889,1.19817423060393
"Stationsbuurt",31,31.9680270711676,0.969718898541579,30,28.1490018557707,1.06575715024332
"Veerallee",37,34.3505395663985,1.07713009655875,36,32.7339681216964,1.09977500638362
"Veldhoek",14,18.3629384305532,0.762405213792257,14,12.7963859487446,1.09405890507495
"Werkeren",29,24.2011397361358,1.19829067209999,25,25.2585567584674,0.989763597305269
"Westenholte-Stins",47,47.7343795798224,0.984615290147547,41,39.4179995922556,1.0401339597166
"Wezenlanden",52,60.5194903654642,0.859227328022479,47,43.7005751243568,1.07550071975607
"Wijthmen",21,24.0725365512551,0.872363406959084,19,18.3751875443273,1.03400305189623
"Windesheim",16,12.7604153655205,1.25387767887502,15,13.9359525091498,1.07635269208557
"Wipstrik-noord",49,54.4120067717124,0.900536534253944,37,41.5198818415346,0.891139337563984
"Wipstrik-zuid",85,75.1061131556889,1.13173211112392,75,72.2065739838756,1.0386865885196
