"Codering_3","buurt","ondersteuning_nodig","expected_nodig","index_nodig","ondersteuning_krijg","expected_krijg","index_krijg"
"BU01933110","Aalanden-midden",139.00,118.27,1.17,121.00,123.85,0.97
"BU01933120","Aalanden-noord",74.00,88.98,0.83,64.00,65.38,0.97
"BU01933130","Aalanden-oost",74.00,75.33,0.98,65.00,62.90,1.03
"BU01933100","Aalanden-zuid",98.00,80.12,1.22,87.00,84.56,1.02
"BU01931140","Bagijneweide",23.00,29.52,0.77,20.00,19.77,1.01
"BU01934000","Berkum",104.00,116.26,0.89,93.00,94.51,0.98
"BU01931010","Binnenstad-noord",30.00,27.02,1.11,26.00,24.77,1.04
"BU01931000","Binnenstad-zuid",32.00,35.34,0.90,30.00,26.85,1.11
"BU01931120","Bollebieste",48.00,49.19,0.97,41.00,39.74,1.03
"BU01933200","Brinkhoek",36.00,36.65,0.98,32.00,32.17,0.99
"BU01931130","Dieze-centrum",32.00,34.43,0.92,30.00,27.40,1.09
"BU01932200","Frankhuis",53.00,40.86,1.29,42.00,43.67,0.96
"BU01935130","Geren",23.00,28.15,0.81,20.00,20.01,0.99
"BU01935150","Gerenbroek",45.00,42.79,1.05,39.00,37.31,1.04
"BU01935140","Gerenlanden",60.00,50.73,1.18,48.00,50.22,0.95
"BU01933220","Haerst",13.00,9.71,1.33,13.00,11.61,1.11
"BU01931360","Hanzeland",36.00,29.00,1.24,35.00,30.54,1.14
"BU01935210","Harculo en Hoogzuthem",12.00,16.79,0.71,11.00,11.13,0.98
"BU01934100","Herfte",16.00,13.82,1.15,14.00,13.46,1.04
"BU01931100","Het Noorden",42.00,41.20,1.01,40.00,37.52,1.06
"BU01931150","Hogenkamp",87.00,80.29,1.08,78.00,71.94,1.08
"BU01933010","Holtenbroek I",36.00,27.92,1.28,31.00,29.80,1.04
"BU01933020","Holtenbroek II",44.00,46.32,0.94,37.00,35.40,1.04
"BU01933030","Holtenbroek III",62.00,52.99,1.16,50.00,50.35,0.99
"BU01933000","Holtenbroek IV",92.00,88.85,1.03,84.00,80.17,1.04
"BU01931160","Indischebuurt",46.00,44.88,1.02,38.00,36.64,1.03
"BU01935120","Ittersumerbroek",44.00,43.66,1.00,36.00,36.71,0.98
"BU01935110","Ittersumerlanden",88.00,71.47,1.23,74.00,76.37,0.96
"BU01931400","Kamperpoort",63.00,56.71,1.11,60.00,56.46,1.06
"BU01935080","Katerveer-Engelse werk",18.00,23.22,0.77,16.00,15.76,1.01
"BU01931170","Meppelerstraatweg-zuid",17.00,16.06,1.05,17.00,14.21,1.19
"BU01932240","Milligen",91.00,79.55,1.14,73.00,78.25,0.93
"BU01931320","Nieuw-Assendorp",59.00,48.10,1.22,52.00,51.55,1.00
"BU01931020","Noordereiland",24.00,37.20,0.64,23.00,21.92,1.04
"BU01935060","Oldenelerbroek",51.00,48.29,1.05,47.00,41.98,1.11
"BU01935040","Oldenelerlanden-oost",41.00,37.66,1.08,33.00,32.26,1.02
"BU01935050","Oldenelerlanden-west",18.00,21.25,0.84,14.00,15.58,0.89
"BU01931310","Oud-Assendorp",36.00,46.84,0.76,33.00,30.55,1.08
"BU01935100","Oud-Ittersum",43.00,42.73,1.00,41.00,38.49,1.06
"BU01935000","Oud-Schelle",24.00,27.79,0.86,20.00,21.25,0.94
"BU01932100","Oud-Westenholte",45.00,41.49,1.08,41.00,39.43,1.03
"BU01931340","Pierik",50.00,58.66,0.85,45.00,42.34,1.06
"BU01935020","Schellerbroek",40.00,36.09,1.10,33.00,33.55,0.98
"BU01935030","Schellerlanden",66.00,68.84,0.95,61.00,55.03,1.10
"BU01931110","Schildersbuurt",11.00,12.44,0.88,,,
"BU01932220","Schoonhorst",79.00,61.77,1.27,64.00,66.02,0.96
"BU01932020","Spoolde",19.00,17.02,1.11,19.00,15.85,1.19
"BU01931300","Stationsbuurt",31.00,31.96,0.96,30.00,28.14,1.06
"BU01931410","Veerallee",37.00,34.35,1.07,36.00,32.73,1.09
"BU01934020","Veldhoek",14.00,18.36,0.76,14.00,12.79,1.09
"BU01932230","Werkeren",29.00,24.20,1.19,25.00,25.25,0.98
"BU01932110","Westenholte-Stins",47.00,47.73,0.98,41.00,39.41,1.04
"BU01931330","Wezenlanden",52.00,60.51,0.85,47.00,43.70,1.07
"BU01934120","Wijthmen",21.00,24.07,0.87,19.00,18.37,1.03
"BU01935200","Windesheim",16.00,12.76,1.25,15.00,13.93,1.07
"BU01931200","Wipstrik-noord",49.00,54.41,0.90,37.00,41.51,0.89
"BU01931210","Wipstrik-zuid",85.00,75.10,1.13,75.00,72.20,1.03
